日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时36分28秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分29秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分30秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分31秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分32秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分33秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分34秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分35秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分36秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分37秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分38秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分39秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分40秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分41秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分42秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分43秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分44秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分45秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分46秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分47秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分48秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分49秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分50秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
